"Assistance Listings Number","Title","Types of Assistance","Department/Ind. Agency","Sub-Tier","Related Federal Assistance","Last Date Modified","Date Published","Funded","POC Information"
"16.889","Grants for Outreach and Services to Underserved Populations","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.016","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"93.990","National Health Promotion","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","OFFICE OF ASSISTANT SECRETARY FOR HEALTH","N/A","Nov 26, 2024","Nov 26, 2024","true","Duane Barlow
1101 Wootton Parkway, Plaza Level, Rockville MD 20852
240-453-8822
"
"93.569","Community Services Block Grant","B - Project Grants (Cooperative Agreements)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.568, 93.600, 93.045","Nov 26, 2024","Nov 26, 2024","true","Charisse Johnson
330 C Street, SW, 5th Floor, Mail Room 5425, Washington DC 20201
202-401-5665
"
"93.086","Healthy Marriage Promotion and Responsible Fatherhood Grants","B - Project Grants (Discretionary)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","N/A","Nov 26, 2024","Nov 26, 2024","true","Melinda Leidy
Office of Family Assistance (OFA)
330 C Street, SW, Washington DC 20201
206-539-5024
"
"81.254","Grid Infrastructure Deployment and Resilience","B - Cooperative Agreements","ENERGY, DEPARTMENT OF","","81.300","Nov 26, 2024","Nov 26, 2024","true","Diana Pry
1000 Independence Ave. SW, Washington DC 20585
240-474-8389
"
"93.210","Tribal Self-Governance Program: IHS Compacts/Funding Agreements","C - Direct Payments for Specified Use","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","N/A","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
301-443-5204
"
"93.972","Health Professions Scholarship Program","M - Training","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","93.288","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management,
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
(301) 443-5204
"
"17.807","Transition Assistance Program","J - Provision of Specialized Services","LABOR, DEPARTMENT OF","VETERANS EMPLOYMENT AND TRAINING SERVICES","17.804","Nov 26, 2024","Nov 26, 2024","true","Timothy Winter
200 Constitution Ave, NW, Room S-1312, Washington DC 20210
2026934705
"
"16.840","Keep Young Athletes Safe","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 26, 2024","Nov 26, 2024","true","Portia Graham
U.S. Department of Justice 
Office of Justice Programs
SMART Office
999 North Capitol Street, NE, Washington DC 20531
202-514-4689
"
"16.057","OVW LGBT Specific Services Program","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","N/A","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"16.590","Grants to Encourage Arrest Policies and Enforcement of Protection Orders Program","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.589, 16.587, 16.588","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"64.053","Payments to States for Programs to Promote the Hiring and Retention of Nurses at State Veterans Homes","B - Project Grants","VETERANS AFFAIRS, DEPARTMENT OF","VA HEALTH ADMINISTRATION CENTER","N/A","Nov 26, 2024","Nov 26, 2024","true","State Veteran Home Program
Geriatrics and Extended Care
810 Vermont Ave., N.W., Washington DC 20420
(202) 461-6750
"
"93.597","Grants to States for Access and Visitation Programs","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.563","Nov 26, 2024","Nov 26, 2024","true","Michael Hayes, Senior Program Manager 
330 C. Street S.W., Washington DC 20201
202 401-5651
"
"93.558","Temporary Assistance for Needy Families","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.667, 93.596, 93.594, 93.595","Nov 26, 2024","Nov 26, 2024","true","Deborah List
Office of Family Assistance, Administration for Children and Families, Washington DC 20024
2024015488
"
"16.039","Rural Violent Crime Initiative","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 26, 2024","Nov 26, 2024","false","Juliana Palmer
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
202-598-6531
"
"93.563","Child Support Services","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.658, 93.558","Nov 26, 2024","Nov 26, 2024","true","Joseph Arthur
330 C. St. SW, 5th Floor, Washington DC 20201
202-823-1019
"
"20.931","Transportation Planning, Research and Education","B - Project Grants","TRANSPORTATION, DEPARTMENT OF","OFFICE OF THE SECRETARY","N/A","Nov 26, 2024","Nov 26, 2024","false","Matthew Ginsburg
1200 New Jersey Avenue, SE, Washington DC 20950
(202) 366-5031
"
"16.058","Demonstration Program on Trauma-Informed, Victim Centered Training for Law Enforcement","B - Project Grants (Cooperative Agreements)","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","N/A","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"16.017","Sexual Assault Services Formula Program","A - Formula Grants","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.589, 16.587, 16.588","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"93.568","Low-Income Home Energy Assistance","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","N/A","Nov 26, 2024","Nov 26, 2024","true","Andrew Germain, Fiscal Branch Chief
Division of Energy Assistance, 
Office of Community Services, 
Administration for Children and Families, 
Department of Health and Human Services, Washington DC 20201
2023086444
"
"16.043","Veterans Treatment Court Discretionary Grant Program","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 26, 2024","Nov 26, 2024","true","Courtney Stewart
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
202-598-0618
"
"16.888","Consolidated And Technical Assistance Grant Program to Address Children and Youth Experiencing Domestic and Sexual Violence and Engage Men and Boys as Allies","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","N/A","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"93.164","Indian Health Service Educational Loan Repayment","C - Direct Payments for Specified Use","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","93.162","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
(301) 443-5204
"
"93.594","Tribal Work Grants","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","17.265, 93.558","Nov 26, 2024","Nov 26, 2024","true","Stan Koutstaal
330 C Street SW, Washington  DC 20201
202-401-5457
"
"93.695","Health Equity Data Access Program","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR MEDICARE AND MEDICAID SERVICES","N/A","Nov 26, 2024","Nov 26, 2024","true","Nancy Chiles Shaffer
7500 Security Blvd, Baltimore MD 21244
410-786-4923
"
"93.974","Family Planning Service Delivery Improvement Research","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","OFFICE OF ASSISTANT SECRETARY FOR HEALTH","93.260, 93.217","Nov 26, 2024","Nov 26, 2024","false","Duane Barlow
Office of Grants and Acquisition Management
1101 Wootton Parkway, Plaza Level, Rockville MD 20851
2404538822
"
"93.382","Indian Health Service Community Health Aide Program","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","N/A","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
(301) 443-5204
"
"81.252","Legally-directed Academic Programs, Workforce Development and Community Support","A - Formula Grants (Cooperative Agreements)","ENERGY, DEPARTMENT OF","","N/A","Nov 25, 2024","Nov 25, 2024","true","Terri Stone
19901 Germantown Road, Germantown MD 20874
3019037423
"
"93.527","Grants for New and Expanded Services under the Health Center Program","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.129","Nov 25, 2024","Nov 25, 2024","true","Bureau of Primary Health Care, Health Resources and Services Administration
5600 Fishers Lane, Rockville MD 20857
3015944300
"
"93.162","National Health Service Corps Loan Repayment","C - Direct Payments for Specified Use","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.165, 93.908","Nov 25, 2024","Nov 25, 2024","true","Israil Ali, National Health Service Corps
Loan Repayment Branch
Division of National Health Service Corps, Rockville MD 20857
(301) 594-4400
"
"93.165","Grants to States for Loan Repayment","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.162","Nov 25, 2024","Nov 25, 2024","true","Opeoluwa Daramola
Quality Assurance Branch, Division of National Health Service Corps, Bureau of Health Workforce, Health Resources and Services Administration, Department of Health and Human Services, Rockville MD 20857
(301) 443-1882
"
"93.124","Nurse Anesthetist Traineeship","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 25, 2024","Nov 25, 2024","true","Onyinya Erondu, MS, RN
Bureau of Health Workforce
Division of Nursing and Public Health, Rockville MD 20857
(301) 594-4457
"
"93.130","Cooperative Agreements to States/Territories for the Coordination and Development of Primary Care Offices","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.129","Nov 25, 2024","Nov 25, 2024","true","Aplha Bah, Shortage Designation Branch, Division of Policy and Shortage Designation, Bureau of Health Workforce, Health Resources and Services Administration
5600 Fishers Lane, Room 11W16,, Rockville MD 20852
(301) 945-9653
"
"93.300","National Health Center for Health Workforce Analysis","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 25, 2024","Nov 25, 2024","true","Yahtyng Sheu National Center for Health Workforce Analysis, Bureau of Health Workforce, Health Resources and Services Administration, Department of Health and Human Services
5600 Fishers Lane, Room 11N21, Rockville MD 20857
301-443-1426
"
"93.186","National Research Service Award in Primary Care Medicine","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 25, 2024","Nov 25, 2024","true","Svetlana Cicale, MPH, Project Officer
Medical Training and Geriatrics Branch
Division of Medicine and Dentistry
Bureau of Health Workforce, Rockville MD 20857
(301) 443-7271
"
"93.236","Grants to States to Support Oral Health Workforce Activities","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 25, 2024","Nov 25, 2024","true","CDR Tracy Glascoe, Chief, Oral Health Branch, Division of Medicine and Dentistry, Bureau of Health Workforce
5600 Fishers Lane Room 15N-120, Rockville  MD 20857
301-594-3816
"
"93.264","Nurse Faculty Loan Program (NFLP)","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 25, 2024","Nov 25, 2024","true","Nawall Kertache, Project Officer
Division of Nursing and Public Health
Bureau of Health Workforce (BHW), Rockville MD 20857
301-443-0921
"
"93.364","Nursing Student Loans","E - Direct Loans","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","84.063","Nov 25, 2024","Nov 25, 2024","true","Tejasvi Koka
Division of Health Careers and Financial Support
Bureau of Health Workforce, Rockville MD 20857
(301) 443-1173
"
"93.680","Medical Student Education","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 25, 2024","Nov 25, 2024","true","Anthony Anyanwu, MD, MHA, MSc
Medical Training and Geriatrics Branch
Division of Medicine and Dentistry
Bureau of Health Workforce
Health Resources and Services Administration, Rockville MD 20857
301-443-8437
"
"93.255","Children's Hospitals Graduate Medical Education Payment Program","C - Direct Payments for Specified Use","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 25, 2024","Nov 25, 2024","true","Lisa Flach-Fulcher , Division of Medicine and Dentistry, Bureau of Health Workforce
5600 Fishers Lane, Rockville MD 20857
301-443-0365
"
"93.129","Technical and Non-Financial Assistance to Health Centers","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 25, 2024","Nov 25, 2024","true","Bureau of Primary Health Care, Health Resources and Services Administration
5600 Fishers Lane,, Rockville MD 20857
(301) 594-4300
"
"93.908","Nurse Corps Loan Repayment Program","C - Direct Payments for Specified Use","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.303, 93.364, 93.162","Nov 25, 2024","Nov 25, 2024","true","J Brown, MPH,MSW
Nurse Corps Loan Repayment Program, Division of Health Careers and Financial Support, Bureau of Health Workforce (BHW),  Health Resources and Services Administration, Rockville MD 20857
3014434122
"
"93.303","Nurse Corps Scholarship","C - Direct Payments for Specified Use","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.288, 93.908","Nov 25, 2024","Nov 25, 2024","true","Cardora Barnes, Nurse Corps Scholarship Program, Division of Health Careers and Financial Support, Bureau of Health Workforce (BHW), Health Resources and Services Administration, Department of Health and Human Service
5600 Fishers Lane, Rockville MD 20857
301-945-3954
"
"93.923","Disadvantaged Health Professions Faculty Loan Repayment Program (FLRP)","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 25, 2024","Nov 25, 2024","true","Jacqueline Brown, MPH,MSW
Faculty Loan Repayment Program, Division of Health Careers and Financial Support, Bureau of Health Workforce (BHW),  
Health Resources and Services Administration, Rockville MD 20857
3014434122
"
"93.925","Scholarships for Health Professions Students from Disadvantaged Backgrounds","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.342, 93.288, 93.364","Nov 25, 2024","Nov 25, 2024","true","Denise Sorrell, Division of Health Careers and Financial Support, Bureau of Health Workforce,
5600 Fishers Lane, Room 15N78,, Rockville  MD 20857
(301) 443-1173
"
"93.530","Teaching Health Center Graduate Medical Education Payment","A - Formula Grants (Cooperative Agreements)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 25, 2024","Nov 25, 2024","true","Crystal Waters, Division of Medicine and Dentistry, Bureau of Health Workforce 
5600 Fishers Lane, Rockville  MD 20857
301-287-0050
"
"93.134","Grants to Increase Organ Donation","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 25, 2024","Nov 25, 2024","true","Division of Transplantation,
5600 Fishers Lane, 08W49, Rockville MD 20857
(301) 443-7578
"
"93.011","National Organizations for State and Local Officials","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","93.528, 93.129","Nov 25, 2024","Nov 25, 2024","true","Kellie Cosby
5600 Fishers Lane, Rockville  MD 20857
3014438997
"
"93.498","Provider Relief Fund and American Rescue Plan (ARP) Rural Distribution","C - Direct Payments for Specified Use","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 25, 2024","Nov 25, 2024","false","Health Resources and Services Administration
5600 Fishers Lane, Rockville MD 20857
(866) 569-3522
"
"93.461","HRSA COVID-19 Claims Reimbursement for the Uninsured Program and the COVID-19 Coverage Assistance Fund","C - Direct Payments for Specified Use","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 25, 2024","Nov 25, 2024","false","Health Resources and Services Administration
5600 Fishers Lane, Rockville MD 20857
(866) 569-3522
"
